Disturbance_time,ICME_Start,ICME_End,dV (km/s),V_ICME (km/s),V_max (km/s),B (nT),Dst (nT)
2023-01-03 21:00:00,2023-01-04 02:00:00,2023-01-05 22:00:00,30,380.0,430.0,18.0,61
2023-02-27 10:00:00,2023-02-27 20:00:00,2023-02-28 17:00:00,110,650.0,820.0,10.0,132
2023-03-01 00:00:00,2023-03-01 09:00:00,2023-03-01 21:00:00,30,590.0,700.0,6.0,29
2023-03-02 09:00:00,2023-03-02 09:00:00,2023-03-02 22:00:00,20,480.0,510.0,8.0,31
2023-03-12 06:00:00,2023-03-12 09:00:00,2023-03-14 02:00:00,20,350.0,390.0,7.0,2
2023-03-15 04:27:00,2023-03-15 21:00:00,2023-03-17 07:00:00,110,490.0,570.0,7.0,39
2023-03-23 05:00:00,2023-03-23 14:00:00,2023-03-24 07:00:00,30,450.0,490.0,20.0,163
2023-04-18 14:02:00,2023-04-19 08:00:00,2023-04-21 02:00:00,140,420.0,620.0,9.0,36
2023-04-23 17:38:00,2023-04-24 01:00:00,2023-04-25 19:00:00,140,520.0,680.0,17.0,213
2023-05-09 22:50:00,2023-05-10 12:00:00,2023-05-12 06:00:00,120,550.0,660.0,6.0,19
2023-05-12 06:33:00,2023-05-12 12:00:00,2023-05-13 21:00:00,110,480.0,580.0,7.0,16
2023-05-20 10:00:00,2023-05-20 10:00:00,2023-05-21 16:00:00,40,520.0,590.0,7.0,56
2023-07-07 12:00:00,2023-07-07 12:00:00,2023-07-08 15:00:00,0,450.0,500.0,6.0,35
2023-07-14 16:11:00,2023-07-14 20:00:00,2023-07-15 10:00:00,40,380.0,430.0,12.0,34
2023-07-16 19:22:00,2023-07-17 20:00:00,2023-07-19 04:00:00,100,500.0,570.0,6.0,48
2023-07-25 22:33:00,2023-07-26 17:00:00,2023-07-28 11:00:00,110,460.0,570.0,7.0,52
2023-08-05 02:55:00,2023-08-05 18:00:00,2023-08-06 14:00:00,60,350.0,440.0,8.0,93
2023-09-02 04:34:00,2023-09-02 20:00:00,2023-09-04 00:00:00,40,490.0,720.0,7.0,62
2023-09-17 02:34:00,2023-09-18 02:00:00,2023-09-19 00:00:00,70,430.0,480.0,10.0,23
2023-09-18 13:31:00,2023-09-19 08:00:00,2023-09-21 10:00:00,110,510.0,640.0,6.0,85
2023-09-24 20:43:00,2023-09-25 09:00:00,2023-09-26 11:00:00,110,440.0,480.0,19.0,69
2023-09-28 21:31:00,2023-09-29 10:00:00,2023-09-30 23:00:00,70,430.0,460.0,6.0,47
2023-10-05 22:25:00,2023-10-06 16:00:00,2023-10-07 18:00:00,50,370.0,490.0,6.0,17
2023-11-12 06:13:00,2023-11-12 12:00:00,2023-11-13 17:00:00,70,460.0,570.0,8.0,38
2023-12-01 09:26:00,2023-12-01 20:00:00,2023-12-03 00:00:00,100,460.0,530.0,14.0,107
2023-12-15 11:48:00,2023-12-15 22:00:00,2023-12-16 12:00:00,120,500.0,510.0,8.0,30
2023-12-17 07:39:00,2023-12-17 22:00:00,2023-12-18 15:00:00,80,470.0,530.0,11.0,77
2024-01-03 15:10:00,2024-01-03 21:00:00,2024-01-04 10:00:00,50,450.0,480.0,7.0,22
2024-01-23 23:00:00,2024-01-23 23:00:00,2024-01-25 06:00:00,20,440.0,470.0,4.0,15
2024-01-26 20:00:00,2024-01-26 23:00:00,2024-01-28 16:00:00,60,380.0,470.0,7.0,10
2024-03-21 02:50:00,2024-03-21 15:00:00,2024-03-23 00:00:00,30,360.0,380.0,9.0,72
2024-03-24 14:34:00,2024-03-24 18:00:00,2024-03-26 10:00:00,250,700.0,850.0,14.0,128
2024-04-30 12:22:00,2024-05-01 00:00:00,2024-05-02 00:00:00,20,380.0,420.0,12.0,26
2024-05-02 14:07:00,2024-05-03 02:00:00,2024-05-05 04:00:00,40,390.0,500.0,4.0,89
2024-05-10 17:05:00,2024-05-10 20:00:00,2024-05-12 15:00:00,260,800.0,960.0,25.0,406
2024-05-12 09:17:00,2024-05-12 21:00:00,2024-05-14 06:00:00,30,660.0,900.0,7.0,
2024-05-17 13:29:00,2024-05-18 00:00:00,2024-05-19 18:00:00,90,400.0,470.0,7.0,88
2024-06-28 10:14:00,2024-06-28 17:00:00,2024-06-29 04:00:00,40,470.0,490.0,9.0,107
