icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std,sc_time,mo_sc_GSE_x,mo_sc_GSE_y,mo_sc_GSE_z
ICME_Wind_MOESTL_20240615_01,Wind,2024-06-15 10:54:00,2024-06-15 16:30:00,2024-06-16 12:00:00,1.0049,-0.15,1.14,25.1,15.6,10.5,2.0,396.1,21.2,19.5,13.1,9.9,1.7,1.5,-10.0,4.9,4.1,2.6,390.2,18.1,23.4,1.6,0.5,6.0,1.6,123627.4,34108.9,420.3,15.4,13.0,2.4,3.9,0.8,2024-06-15 16:30:00,255.9433582881042,60.64496155515914,12.203608399483114
ICME_Wind_MOESTL_20240606_01,Wind,2024-06-06 01:44:00,2024-06-06 01:44:00,2024-06-07 02:00:00,1.0042,-0.2,-0.03,24.27,7.3,6.4,0.4,370.1,12.8,24.27,7.3,6.4,0.4,-0.3,-5.8,2.2,2.1,1.3,370.1,12.8,1.5,0.8,0.2,3.5,0.9,27489.5,16952.6,,,,,,,2024-06-06 01:44:00,248.1240829274766,81.7039488929128,9.24058108615347
ICME_Wind_MOESTL_20240531_01,Wind,2024-05-31 01:00:00,2024-05-31 01:00:00,2024-06-01 09:30:00,1.0037,-0.23,-0.77,32.5,9.8,5.2,1.3,350.5,12.1,32.5,9.8,5.2,1.3,-1.8,-8.3,2.2,3.6,2.0,350.5,12.1,8.8,1.6,1.1,7.6,4.8,38789.9,15714.6,,,,,,,2024-05-31 01:00:00,238.6834319268613,94.51819045194895,5.762269283855446
ICME_Wind_MOESTL_20240530_01,Wind,2024-05-30 12:30:00,2024-05-30 12:30:00,2024-05-30 20:12:00,1.0036,-0.23,-0.83,7.7,9.6,7.9,1.0,354.9,6.3,7.7,9.6,7.9,1.0,-6.3,-9.3,1.6,-2.6,2.7,354.9,6.3,,1.9,0.4,8.8,1.8,26075.6,18098.3,,,,,,,2024-05-30 12:30:00,239.0052937866702,94.3712955956982,6.832166680591972
ICME_Wind_MOESTL_20240529_02,Wind,2024-05-29 21:48:00,2024-05-29 21:48:00,2024-05-30 09:38:00,1.0035,-0.23,-0.91,11.83,9.0,7.6,0.7,341.3,6.2,11.83,9.0,7.6,0.7,0.8,-6.1,2.5,-6.9,1.0,341.3,6.2,2.2,1.1,0.3,5.7,1.5,106272.2,43979.5,,,,,,,2024-05-29 21:48:00,238.94022378612868,94.6896181053296,4.214263623424867
ICME_Wind_MOESTL_20240529_01,Wind,2024-05-29 05:34:00,2024-05-29 05:34:00,2024-05-29 21:44:00,1.0035,-0.23,-0.99,16.17,11.0,9.6,1.0,339.8,5.9,16.17,11.0,9.6,1.0,0.6,-8.3,5.0,-7.5,1.9,339.8,5.9,5.7,2.0,0.6,10.3,3.4,27569.1,14697.1,,,,,,,2024-05-29 05:34:00,236.23975045940605,94.6265382810114,4.685807889552864
ICME_Wind_MOESTL_20240517_01,Wind,2024-05-17 04:30:00,2024-05-17 04:30:00,2024-05-17 11:28:00,1.0019,-0.25,-2.42,6.97,10.4,8.9,0.9,386.9,5.5,6.97,10.4,8.9,0.9,4.7,-8.8,4.0,-5.0,2.2,386.9,5.5,9.9,2.2,0.4,8.7,1.4,72643.6,26501.0,,,,,,,2024-05-17 04:30:00,220.85423281011592,103.09896833119028,0.6772384233355647
ICME_Wind_MOESTL_20240516_01,Wind,2024-05-16 04:24:00,2024-05-16 12:34:00,2024-05-17 03:10:00,1.0017,-0.25,-2.5,22.77,16.1,8.5,2.5,420.6,34.8,14.6,10.2,8.2,1.0,3.5,-6.7,4.2,-3.5,3.4,399.1,20.3,,2.4,0.7,8.9,1.7,59507.7,23375.0,458.3,19.2,24.6,9.6,8.7,3.5,2024-05-16 12:34:00,222.37365753998944,103.2600088752262,-0.9388035812338112
ICME_Wind_MOESTL_20240511_03,Wind,2024-05-11 10:41:00,2024-05-11 11:06:00,2024-05-11 14:31:00,1.0009,-0.25,-3.07,3.83,28.6,23.3,5.3,793.6,24.4,3.42,28.6,24.7,3.4,-19.5,-25.0,8.1,-5.4,5.3,796.4,22.3,21.5,12.9,5.4,12.0,4.5,105857.9,52849.4,773.9,29.1,20.3,2.8,20.5,4.3,2024-05-11 11:06:00,215.83421658140037,103.09537490525612,-1.118947416754189
ICME_Wind_MOESTL_20240511_02,Wind,2024-05-11 07:34:00,2024-05-11 07:55:00,2024-05-11 09:30:00,1.0009,-0.25,-3.09,1.93,42.6,34.4,7.8,704.5,14.8,1.58,42.6,36.7,6.0,-33.6,-41.1,7.8,-8.0,9.5,702.9,15.4,12.6,20.7,17.1,24.8,20.4,153068.3,67993.9,711.7,8.4,27.2,3.7,23.1,3.5,2024-05-11 07:55:00,215.1427462881678,103.34244824104492,-3.290531397183465
ICME_Wind_MOESTL_20240511_01,Wind,2024-05-11 00:02:00,2024-05-11 02:18:00,2024-05-11 07:27:00,1.0008,-0.25,-3.11,7.42,55.7,38.3,6.9,720.0,29.0,5.15,44.6,37.2,3.7,-6.3,-39.7,18.8,15.6,21.7,709.4,26.5,44.3,21.0,10.0,25.2,12.3,247598.7,126397.4,744.4,17.8,34.8,8.6,32.2,8.0,2024-05-11 02:18:00,216.260429574252,103.05326650617216,-0.913399494877292
ICME_Wind_MOESTL_20240510_02,Wind,2024-05-10 21:39:00,2024-05-10 22:05:00,2024-05-11 01:20:00,1.0008,-0.25,-3.13,3.68,71.9,60.1,10.9,744.5,20.7,3.25,71.9,59.1,11.1,-33.6,-58.5,19.7,-19.4,38.2,746.5,18.9,,23.4,8.5,25.0,8.6,235371.9,137421.9,731.9,27.1,20.0,4.0,18.0,3.7,2024-05-10 22:05:00,215.3364644197854,103.07880187623634,-1.1701203848722928
ICME_Wind_MOESTL_20240510_01,Wind,2024-05-10 16:37:00,2024-05-10 19:10:00,2024-05-10 22:04:00,1.0008,-0.24,-3.14,5.45,71.9,35.6,13.8,693.7,24.8,2.9,71.9,41.5,13.4,-20.8,-39.1,14.4,23.7,20.1,702.5,19.0,-36.2,30.8,12.4,37.2,14.8,238030.1,136791.1,682.5,26.9,39.0,12.0,30.5,10.3,2024-05-10 19:10:00,214.67734542368245,98.85407597934292,-0.2592408601130334
ICME_Wind_MOESTL_20240430_01,Wind,2024-04-30 11:46:00,2024-05-01 01:32:00,2024-05-02 03:00:00,0.9988,-0.21,-4.18,39.23,13.6,10.6,2.5,378.1,24.3,25.47,13.6,11.8,1.7,4.3,-8.6,6.7,-7.6,3.9,364.3,17.7,34.8,2.1,1.0,9.5,4.5,28644.2,20963.3,403.4,10.4,18.0,8.2,4.8,2.1,2024-05-01 01:32:00,205.67325143866924,86.80720326485417,-6.773891271841562
ICME_Wind_MOESTL_20240415_01,Wind,2024-04-15 17:32:00,2024-04-16 09:56:00,2024-04-16 23:04:00,0.9951,-0.11,-5.51,29.53,13.1,9.8,1.5,367.6,12.6,13.13,13.1,10.7,1.5,-7.9,-11.9,1.9,-2.3,4.2,373.2,10.3,,3.5,0.8,15.2,3.3,27400.3,12201.4,363.2,12.5,15.2,2.0,3.4,0.5,2024-04-16 09:56:00,200.27226573913916,45.41812858738567,-7.9508338984526254
ICME_Wind_MOESTL_20240408_01,Wind,2024-04-08 01:48:00,2024-04-08 09:23:00,2024-04-09 13:54:00,0.9929,-0.04,-6.11,36.1,8.8,6.2,1.4,362.6,14.6,28.52,8.8,6.5,1.2,-1.7,-8.0,3.1,-4.7,1.7,358.4,12.6,-8.0,1.3,0.2,6.0,1.0,51201.6,19772.8,378.5,10.2,12.0,2.4,2.9,0.5,2024-04-08 09:23:00,199.39741197748327,16.967520727837204,-11.017847347941135
ICME_Wind_MOESTL_20240404_01,Wind,2024-04-04 10:00:00,2024-04-04 10:00:00,2024-04-04 17:40:00,0.9918,0.0,-6.36,7.67,11.6,8.5,0.8,443.9,7.5,7.67,11.6,8.5,0.8,-2.2,-8.1,1.6,3.7,1.9,443.9,7.5,-25.6,1.9,0.3,5.7,1.1,98597.3,33938.4,,,,,,,2024-04-04 10:00:00,198.16150915130555,0.6072099549678989,-9.827133309275098
ICME_Wind_MOESTL_20240330_01,Wind,2024-03-30 12:56:00,2024-03-30 14:10:00,2024-03-31 00:36:00,0.9904,0.05,-6.63,11.67,13.8,10.8,1.9,380.3,33.3,10.43,13.8,11.2,1.6,-2.8,-10.0,3.4,-8.2,2.1,385.5,31.2,-61.6,2.2,0.3,9.0,1.6,92637.9,65184.6,335.6,3.6,16.1,1.9,3.0,0.4,2024-03-30 14:10:00,197.80389360716484,-19.62416389239975,-10.30931863337844
ICME_Wind_MOESTL_20240324_01,Wind,2024-03-24 14:14:00,2024-03-24 18:22:00,2024-03-25 10:04:00,0.9888,0.1,-6.89,19.83,32.8,22.5,6.3,777.9,44.9,15.7,31.2,23.1,6.1,11.8,-5.3,6.3,-10.9,14.8,774.1,47.3,52.6,6.2,5.7,6.5,6.2,56686.0,19958.4,792.2,30.0,14.5,4.4,15.2,4.6,2024-03-24 18:22:00,195.98012982465715,-39.89973383932319,-7.88543977064496
ICME_Wind_MOESTL_20240321_01,Wind,2024-03-21 02:02:00,2024-03-21 15:34:00,2024-03-22 05:04:00,0.9879,0.12,-7.01,27.03,14.4,9.7,1.8,357.6,10.8,13.5,12.3,9.4,1.3,0.2,-10.8,5.1,5.4,3.4,363.6,9.0,9.3,2.3,1.1,10.3,4.5,17683.5,6470.9,351.6,9.0,24.4,6.8,5.0,1.4,2024-03-21 15:34:00,196.6426553383156,-47.85666256979589,-9.968687985481631
ICME_Wind_MOESTL_20240303_01,Wind,2024-03-03 09:06:00,2024-03-03 23:56:00,2024-03-04 23:36:00,0.9828,0.24,-7.25,38.5,21.4,12.3,2.7,351.5,21.3,23.67,14.1,11.3,1.1,-1.0,-10.0,4.2,-10.0,1.4,360.1,22.8,-21.3,1.1,0.6,5.3,3.1,124977.7,58925.9,338.1,7.6,34.8,11.5,6.6,2.2,2024-03-03 23:56:00,206.30331442871483,-95.79090347000498,-0.8573752048918515
ICME_Wind_MOESTL_20240224_01,Wind,2024-02-24 16:24:00,2024-02-25 13:30:00,2024-02-26 10:16:00,0.9807,0.25,-7.15,41.87,13.3,9.7,1.7,385.3,21.3,20.77,13.3,10.6,1.4,3.5,-6.2,5.1,4.3,4.4,384.6,13.6,-8.7,1.8,1.0,7.3,3.9,40698.5,22626.3,386.1,26.6,12.0,5.3,2.9,1.1,2024-02-25 13:30:00,212.9065707670344,-99.56915445723465,1.825290231196727
ICME_Wind_MOESTL_20240103_02,Wind,2024-01-03 14:20:00,2024-01-03 18:00:00,2024-01-04 12:50:00,0.9723,-0.03,-3.22,22.5,9.7,6.6,1.6,446.7,19.6,18.83,9.5,6.5,1.7,1.1,-7.6,2.9,4.5,2.4,444.9,20.0,32.8,1.6,0.6,4.7,1.3,90595.5,46376.5,455.9,13.7,9.7,0.9,3.4,0.5,2024-01-03 18:00:00,258.20929670167214,13.635046854480558,14.403191948751822
ICME_Wind_MOESTL_20240103_01,Wind,2024-01-03 04:48:00,2024-01-03 08:12:00,2024-01-03 14:18:00,0.9724,-0.03,-3.17,9.5,11.6,7.0,2.1,416.9,20.5,6.1,7.2,5.7,0.6,-1.0,-6.1,2.2,0.1,1.5,404.3,10.6,16.3,1.9,0.6,6.7,1.9,148573.6,44409.3,439.3,13.7,11.5,1.2,3.7,0.4,2024-01-03 08:12:00,255.8382483397625,13.775934742101166,15.565699900121128
ICME_Wind_MOESTL_20231228_01,Wind,2023-12-28 22:50:00,2023-12-29 11:36:00,2023-12-29 21:10:00,0.9725,-0.08,-2.6,22.33,10.3,7.3,1.7,379.6,16.6,9.57,10.3,8.9,1.0,2.3,-2.2,2.3,7.6,1.8,366.7,14.0,1.5,2.5,0.6,11.0,2.9,31939.2,10966.0,389.2,10.9,14.8,4.3,3.7,1.0,2023-12-29 11:36:00,254.8802945031696,33.51042030529061,12.424663211318594
ICME_Wind_MOESTL_20231217_01,Wind,2023-12-17 06:56:00,2023-12-17 21:40:00,2023-12-18 03:14:00,0.9736,-0.17,-1.16,20.3,18.0,10.3,2.2,497.9,24.8,5.57,11.2,10.6,0.3,8.0,5.3,1.4,-5.5,1.2,485.0,6.0,-14.7,3.1,1.0,7.9,2.4,16812.7,6452.9,502.6,27.2,17.7,3.0,7.5,1.4,2023-12-17 21:40:00,245.96280749307897,69.59323488117278,10.529866376001698
ICME_Wind_MOESTL_20231215_01,Wind,2023-12-15 10:52:00,2023-12-15 22:44:00,2023-12-16 10:56:00,0.9739,-0.18,-0.91,24.07,22.2,10.1,3.7,470.6,39.9,12.2,11.3,7.8,1.4,-1.1,-5.2,1.8,-2.6,2.6,498.1,10.3,13.6,2.7,1.1,6.4,2.6,38536.4,26763.3,441.5,38.8,17.5,10.2,5.5,2.8,2023-12-15 22:44:00,243.39635562137508,73.658723306317,10.598173218919484
ICME_Wind_MOESTL_20231204_01,Wind,2023-12-04 11:54:00,2023-12-04 11:54:00,2023-12-05 04:02:00,0.9759,-0.23,0.55,16.13,15.3,12.0,2.1,548.8,15.0,16.13,15.3,12.0,2.1,2.0,-7.1,2.6,6.3,5.7,548.8,15.0,14.7,3.0,0.5,6.0,1.1,233232.8,64933.5,,,,,,,2023-12-04 11:54:00,228.9973959446029,93.363206064071,5.871394928061033
ICME_Wind_MOESTL_20231201_01,Wind,2023-12-01 08:52:00,2023-12-01 19:52:00,2023-12-03 01:38:00,0.9764,-0.24,0.89,40.77,30.1,15.3,4.6,473.9,38.1,29.77,18.9,13.4,2.9,3.1,-15.2,7.8,10.0,4.2,460.1,34.9,59.0,1.9,1.8,5.0,4.1,14399.0,12289.6,509.9,15.9,27.1,12.1,11.9,5.4,2023-12-01 19:52:00,226.6236492129985,97.37048547456214,5.461542633985288
ICME_Wind_MOESTL_20231130_01,Wind,2023-11-30 23:26:00,2023-12-01 06:06:00,2023-12-01 12:32:00,0.9765,-0.24,0.96,13.1,30.1,14.3,5.4,459.5,41.4,6.43,30.1,18.0,5.4,-3.9,-27.3,13.3,-9.4,6.1,483.1,47.6,-53.4,11.0,7.7,25.8,16.1,153816.3,40933.9,436.7,10.8,17.8,2.7,5.7,1.0,2023-12-01 06:06:00,226.3909583422148,97.23642111945163,4.357908670851002
