,Time_GFOC,Time_SWMA,GFOC_is_missing_day_extended,SWMA_is_missing_day_extended,Residual_is_missing_day_extended
326880,2023-04-26,2023-04-26,False,True,-1.0
329760,2023-04-27,2023-04-27,False,True,-1.0
349920,2023-05-04,2023-05-04,False,True,-1.0
352800,2023-05-05,2023-05-05,False,True,-1.0
364320,2023-05-09,2023-05-09,False,True,-1.0
367200,2023-05-10,2023-05-10,False,True,-1.0
370080,2023-05-11,2023-05-11,False,True,-1.0
372960,2023-05-12,2023-05-12,False,True,-1.0
387360,2023-05-17,2023-05-17,False,True,-1.0
390240,2023-05-18,2023-05-18,False,True,-1.0
407520,2023-05-24,2023-05-24,False,True,-1.0
410400,2023-05-25,2023-05-25,False,True,-1.0
413280,2023-05-26,2023-05-26,False,True,-1.0
416160,2023-05-27,2023-05-27,False,True,-1.0
